id,rate
sample_840,0.9202532172203064
sample_93,0.9297582507133484
sample_864,0.9037749767303467
sample_1488,0.9114529490470886
sample_744,0.9312372207641602
sample_40,0.9052813649177551
sample_1149,0.9297544360160828
sample_1321,0.9319213628768921
sample_990,0.8965102434158325
sample_1235,0.9297602772712708
sample_655,0.9304827451705933
sample_1906,0.9305116534233093
sample_1092,0.9090346097946167
sample_1918,0.9297397136688232
sample_1323,0.9312049746513367
sample_611,0.9318806529045105
sample_1331,0.9312313199043274
sample_1769,0.9297276139259338
sample_1739,0.9304408431053162
sample_566,0.9342507123947144
sample_1650,0.929680347442627
sample_1530,0.9092398881912231
sample_234,0.9297367930412292
sample_1854,0.9297664761543274
sample_1295,0.9318848252296448
sample_749,0.9306642413139343
sample_183,0.9483952522277832
sample_1592,0.9023857712745667
sample_142,0.9297582507133484
sample_1127,0.9297544360160828
sample_1855,0.9304723143577576
sample_327,0.9071519374847412
sample_7,0.9076399207115173
sample_1019,0.8982226252555847
sample_1494,0.9114693403244019
sample_1276,0.9304913282394409
sample_290,0.9247772097587585
sample_1796,0.9297670125961304
sample_1833,0.9297564625740051
sample_712,0.929521918296814
sample_1892,0.9297453761100769
sample_62,0.9010541439056396
sample_1075,0.9075912237167358
sample_1804,0.9297544360160828
sample_1628,0.9304827451705933
sample_1404,0.9044660925865173
sample_980,0.9025203585624695
sample_1257,0.9297544360160828
sample_1197,0.9297670125961304
sample_747,0.9311898350715637
sample_197,0.9297516345977783
sample_690,0.9297544360160828
sample_1839,0.9297544360160828
sample_961,0.8930462002754211
sample_134,0.9304947257041931
sample_709,0.9295167326927185
sample_1311,0.9312107563018799
sample_1919,0.930522084236145
sample_1813,0.9297544360160828
sample_1399,0.9312087893486023
sample_1888,0.9304702281951904
sample_894,0.9094460010528564
sample_1051,0.9037054777145386
sample_1286,0.9304354786872864
sample_1327,0.9319417476654053
sample_1651,0.9297516345977783
sample_1337,0.9312087893486023
sample_1626,0.9297457933425903
sample_143,0.9297582507133484
sample_1391,0.9312372207641602
sample_81,0.9305315613746643
sample_279,0.9312313199043274
sample_1455,0.9151674509048462
sample_380,0.9135561585426331
sample_1405,0.9078373908996582
sample_1848,0.9297582507133484
sample_967,0.9018334150314331
sample_1618,0.9025506377220154
sample_1176,0.9297013878822327
sample_579,0.9305045008659363
sample_261,0.9312313199043274
sample_1452,0.8981792330741882
sample_19,0.9097757339477539
sample_78,0.9304851293563843
sample_1450,0.9077223539352417
sample_1198,0.9297158718109131
sample_56,0.9009901881217957
sample_428,0.9107716083526611
sample_1709,0.9004038572311401
sample_109,0.9297582507133484
sample_1267,0.9304827451705933
sample_530,0.9065260887145996
sample_564,0.9304827451705933
sample_1249,0.9304789304733276
sample_207,0.9297338128089905
sample_1179,0.929731547832489
sample_1221,0.9297158718109131
sample_260,0.9319213628768921
sample_741,0.9311918020248413
sample_1984,0.9312352538108826
sample_460,0.8969996571540833
sample_67,0.9009880423545837
sample_255,0.9312107563018799
sample_406,0.9006098508834839
sample_610,0.9310285449028015
sample_1782,0.9304913282394409
sample_1968,0.9312352538108826
sample_971,0.9019483923912048
sample_1838,0.9297582507133484
sample_426,0.9107765555381775
sample_1422,0.9052392840385437
sample_479,0.9006564617156982
sample_191,0.9297993779182434
sample_480,0.9006237983703613
sample_1236,0.9294677376747131
sample_1352,0.9312107563018799
sample_1201,0.9297649264335632
sample_1643,0.9304700493812561
sample_941,0.9092192649841309
sample_1459,0.9069474339485168
sample_796,0.9312087893486023
sample_1729,0.9297582507133484
sample_533,0.9093945026397705
sample_794,0.9312372207641602
sample_1022,0.9006338119506836
sample_46,0.9112608432769775
sample_1166,0.9310488700866699
sample_211,0.9297582507133484
sample_1986,0.9304707646369934
sample_447,0.9149096608161926
sample_826,0.9312313199043274
sample_1028,0.9010123610496521
sample_119,0.9297667741775513
sample_901,0.9110031127929688
sample_216,0.93047034740448
sample_531,0.9219098687171936
sample_675,0.9297540187835693
sample_1300,0.9319298267364502
sample_620,0.930463433265686
sample_1094,0.907259464263916
sample_1239,0.9297582507133484
sample_841,0.9189649820327759
sample_28,0.9088023900985718
sample_1953,0.9312087893486023
sample_517,0.9081795811653137
sample_1218,0.9297447204589844
sample_1128,0.9295717477798462
sample_1109,0.9297582507133484
sample_580,0.9297583699226379
